nama_tempat,username,rating,review
Kopi Studio 24,Nabila Oktami,3,"Tadi siang ke kopstud sigura Gura dan pertama kali kesitu, jujur harganya affrodable murah meriah tapi minusnya. Aku pesen pancong rasa Milo sumpah topping nya pelit banget cuma sedikit di atasnya gak seperti kopstud lainnya dan kek bukan …"
Kopi Studio 24,Nafilahytz,5,"Tempatnya nyaman, harganya terjangkau untuk mahasiswa, kakaknya ramah, pesanannya sesuai estimasi"
Kopi Studio 24,Santyashayu Sottya,4,"makanan dan minuman ada di harga yg sangat terjangkau, bagi anak kos sebenernya cocok bgt, tapiiii, kalo soal tempatnya, menurut saya tidak begitu bersih, meskipun banyak colokan tapi kurang bersih aja gitu liatnya, kalo misal lebih …"
Kopi Studio 24,Edwin Petrus,4,"Kopi Studio 24 menawarkan aneka pilihan minuman mulai dari kopi, teh, matcha, taro, coklat, cookies and cream, dan sebagainya. Rasa minumannya enak dan menyegarkan. Selain minuman, mereka juga menawarkan aneka pilihan makanan mulai dari …"
Kopi Studio 24,AhmadNur Hanifan,2,"tempatnya kumuh,kamar mandinya bau lantainya kotor semua🤢🤮
untuk makanannya juga agak kurang soalnya pesen cocho melted keju yang dateng malah keju aja,tapi untuk tempat ini kopi an terkumuh yang pernah ku datengin"
Kopi Studio 24,Nova Farhani,5,"murah di semua kalangan, bisa ditemukan di berbagai daerah malang yang ramai. tempatnya banyak, pelayanannya bagus"
Kopi Studio 24,Laila Lutfiatul,5,"ini aku beli di spfood, dan ini colab gitu 7seven dan kopstud. Ayam rempahnya nggak yg juicy gitu, dan ini pedess poll karena bubuk cabenya banyak. Untuk kulit krispinya enakk dan kriuk. Pancong kopstud always enakk"
Kopi Studio 24,Cahaya Abadi,1,"Tolong di teliti untuk KEBERSIHANNYA, masa saya beli ada rambutnya. Di dalam kemasan setelah di pres.

Tolong bangett, saya sudah chat customer service nya tapi slow respon."
Kopi Studio 24,Nastiti Putri,5,"Tempat cocok buat nugas, Bersih dan ada banyak colokan. Harga menu nya sangat affordable. Mantaabb🫶🫶"
Kopi Studio 24,Moch. Bahrul Ulum,5,"pelayanan bintang 5, penyajian pesanannya cepetttt, udah berkali-kali kesini ga pernah mengecewakan, tpi kalau dine in ada beberapa orang yang setelah makan bungkusnya ga dibersihkan :("
Kopi Studio 24,Rizka Ispriyani,5,"SAYANG BGT SAMA KOPSTUD 💗💗💗💗💗
kalian yang belum kesini khususnya mahasiswa, harus banget kesini cepet ya, makanan minuman ramah di kantong tp rasa ga main-main, kasir ramah pelayanan juga cepaattt, ga bosen-bosen kesinii tiap mau nugasss"
Kopi Studio 24,Adinda Salsa Amira,5,"tempatnya nyaman dan bersih, harga pas dikantong, sangat mantap, staff ramah"
Kopi Studio 24,Hanabi Abi,5,"Tempat nya nyaman, harganya murah meriah"
Kopi Studio 24,Anisa Febrianita Zein,5,"selalu langganan disini, makanan dan pelayanannya okee bgtt"
Kopi Studio 24,Diana Dewi,5,"Harganya murah, pelayanannya ramah pokonya wort it bngt buat ngopi"
